	##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	dad.chr22.1.fq
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	444112
Sequences flagged as poor quality	0
Sequence length	89-90
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.86069730158158	34.0	31.0	34.0	31.0	34.0
2	33.09741911950139	34.0	33.0	34.0	31.0	34.0
3	33.15156537089743	34.0	33.0	34.0	31.0	34.0
4	36.502307976366325	37.0	37.0	37.0	35.0	37.0
5	36.44285000180135	37.0	37.0	37.0	35.0	37.0
6	36.442642846849445	37.0	37.0	37.0	35.0	37.0
7	36.420087725618764	37.0	37.0	37.0	35.0	37.0
8	36.417480275245886	37.0	37.0	37.0	35.0	37.0
9	38.22499504629463	39.0	39.0	39.0	37.0	39.0
10-11	38.1956859981266	39.0	39.0	39.0	37.0	39.0
12-13	38.15431805490507	39.0	39.0	39.0	37.0	39.0
14-15	39.667362061822246	41.0	40.0	41.0	37.0	41.0
16-17	39.63564258565407	41.0	40.0	41.0	37.0	41.0
18-19	39.57182985373059	41.0	40.0	41.0	37.0	41.0
20-21	39.50208618546673	41.0	39.0	41.0	37.0	41.0
22-23	39.39810002882156	41.0	39.0	41.0	36.0	41.0
24-25	39.29938844255503	40.5	39.0	41.0	36.0	41.0
26-27	39.13147246640487	40.0	39.0	41.0	36.0	41.0
28-29	38.97940834744389	40.0	38.0	41.0	35.5	41.0
30-31	38.90704709622798	40.0	38.0	41.0	35.0	41.0
32-33	38.947978212703106	40.0	38.0	41.0	35.5	41.0
34-35	39.079395512843604	40.0	39.0	41.0	36.0	41.0
36-37	39.094103514428795	40.0	39.0	41.0	35.0	41.0
38-39	39.037890216882225	40.0	39.0	41.0	35.0	41.0
40-41	38.9314778704471	40.0	38.0	41.0	35.0	41.0
42-43	38.82293655654429	40.0	38.0	41.0	35.0	41.0
44-45	38.704422533054725	40.0	38.0	41.0	35.0	41.0
46-47	38.54864313506503	40.0	38.0	41.0	34.0	41.0
48-49	38.33156951399647	40.0	38.0	41.0	34.0	41.0
50-51	38.08781456029109	40.0	37.5	41.0	33.0	41.0
52-53	37.87884024750513	40.0	37.0	41.0	33.0	41.0
54-55	37.62037729221458	40.0	36.5	41.0	33.0	41.0
56-57	37.333101785135284	39.0	36.0	41.0	32.0	41.0
58-59	36.955323206758656	39.0	35.5	40.5	31.5	41.0
60-61	36.59173924595598	38.5	35.0	40.0	31.0	41.0
62-63	36.22129327737147	38.0	35.0	40.0	30.5	41.0
64-65	35.84394702237273	37.5	35.0	40.0	30.0	41.0
66-67	35.38990389811579	37.0	34.0	40.0	29.0	41.0
68-69	34.92059435457722	36.5	34.0	39.0	29.0	41.0
70-71	34.447697878012754	36.0	34.0	39.0	28.0	40.0
72-73	34.018847723096876	35.0	33.0	38.5	28.0	40.0
74-75	33.50795970385849	35.0	33.0	37.5	26.5	39.5
76-77	32.39988674028173	34.5	31.5	36.0	26.0	39.0
78-79	32.99926707677342	35.0	33.0	37.0	27.0	39.0
80-81	32.80515050257593	35.0	33.0	36.0	27.0	38.5
82-83	32.3805627859639	35.0	33.0	36.0	26.0	37.0
84-85	31.907763131822602	35.0	32.0	35.0	25.0	37.0
86-87	31.44231635263177	35.0	32.0	35.0	24.5	36.5
88-89	30.93462572504233	34.0	32.0	35.0	21.5	36.0
90	30.533011942933314	34.0	31.0	35.0	18.0	36.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
0	1	15.642654848464474
0	2	15.425653401203597
0	3	15.367680220669556
0	4	12.12220195346164
0	5	12.181614291573865
0	6	12.181070902137144
0	7	12.197187964859019
0	8	12.204060358474699
0	9	10.434092139335
0	10-11	10.469412553982885
0	12-13	10.50497851815529
0	14-15	9.025523980735287
0	16-17	9.054034978058851
0	18-19	9.116036064025757
0	20-21	9.189932252405661
0	22-23	9.280162523847743
0	24-25	9.394043043707939
0	26-27	9.540133174740859
0	28-29	9.698915108358584
0	30-31	9.778055844152846
0	32-33	9.710074467375655
0	34-35	9.605116019099839
0	36-37	9.58240837163752
0	38-39	9.639454609390462
0	40-41	9.747351309073245
0	42-43	9.85763761732548
0	44-45	9.98569450140183
0	46-47	10.127670591356214
0	48-49	10.327297952272069
0	50-51	10.579840173784326
0	52-53	10.77243208866701
0	54-55	11.044682063546901
0	56-57	11.31318173582548
0	58-59	11.660310214890686
0	60-61	12.021594879941603
0	62-63	12.372199343528976
0	64-65	12.74092896870016
0	66-67	13.17833595607351
0	68-69	13.63465637274225
0	70-71	14.088209998276383
0	72-73	14.515389436691265
0	74-75	14.965266047015596
0	76-77	16.069360349576677
0	78-79	15.481923126712509
0	80-81	15.670864415680505
0	82-83	16.10934168879016
0	84-85	16.57183995107681
0	86-87	17.001158456983283
0	88-89	17.49471341278209
0	90	17.897127921845087
1101	1	-0.1792499134402874
1101	2	-0.27815612260592815
1101	3	-0.25708168409234844
1101	4	-0.26065518939550003
1101	5	-0.17648094652137303
1101	6	-0.16845290738666563
1101	7	-0.16471679704574171
1101	8	-0.17593964152530361
1101	9	-0.08876500352214123
1101	10-11	-0.050111255540926436
1101	12-13	-0.1088310056542312
1101	14-15	0.002666837878145145
1101	16-17	0.019749263773135795
1101	18-19	0.011274159263855665
1101	20-21	0.0856465381199456
1101	22-23	0.06921014289536487
1101	24-25	0.05737637704127252
1101	26-27	0.041085555693243236
1101	28-29	-0.006799177355702568
1101	30-31	0.12853203462903195
1101	32-33	0.1619792292804192
1101	34-35	0.06654459052840878
1101	36-37	0.07336075258989894
1101	38-39	0.12754984748570308
1101	40-41	0.07830369002562776
1101	42-43	0.04144714113500214
1101	44-45	-0.05382930812198339
1101	46-47	0.0876705913562148
1101	48-49	0.02063128560540406
1101	50-51	-0.01396935002519939
1101	52-53	-0.029472673237755487
1101	54-55	-0.01055603169119479
1101	56-57	0.06365792630167277
1101	58-59	0.25221497679544314
1101	60-61	0.22778535613207396
1101	62-63	0.0864850578146843
1101	64-65	0.034262302033496894
1101	66-67	-0.11785452011696407
1101	68-69	-0.16629600821013213
1101	70-71	-0.24607571600932943
1101	72-73	-0.46603913473730074
1101	74-75	-0.18330538155583298
1101	76-77	-0.4020682218518985
1101	78-79	-0.479981635192253
1101	80-81	-0.3638974890814026
1101	82-83	-0.3735154540669825
1101	84-85	-0.47006481082795304
1101	86-87	-0.493127257302433
1101	88-89	-0.6562389681702925
1101	90	-0.571443506726343
1102	1	-0.22147558631813524
1102	2	-0.2672813814050983
1102	3	-0.33521833005508483
1102	4	-0.2645734088572027
1102	5	-0.23867556349859598
1102	6	-0.2763566340947392
1102	7	-0.24665261485112921
1102	8	-0.20264254007602744
1102	9	-0.1447122084910859
1102	10-11	-0.11482657645189676
1102	12-13	-0.11005771372876438
1102	14-15	0.004690647401957904
1102	16-17	-0.1099142973034617
1102	18-19	-0.06376466061193042
1102	20-21	-0.13977789252187733
1102	22-23	-0.15597878050008518
1102	24-25	-0.054326521509452164
1102	26-27	-0.19220378178087572
1102	28-29	-0.18242547135155718
