##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	dad.chr22.2.fq
File type	Conventional base calls
Encoding	Illumina 1.5
Total Sequences	444112
Sequences flagged as poor quality	0
Sequence length	90
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.760920668660155	34.0	31.0	34.0	31.0	34.0
2	32.97428801743704	34.0	33.0	34.0	31.0	34.0
3	32.99548987642757	34.0	33.0	34.0	31.0	34.0
4	36.339047357423354	37.0	37.0	37.0	35.0	37.0
5	36.31910869330259	37.0	37.0	37.0	35.0	37.0
6	36.31780496811615	37.0	37.0	37.0	35.0	37.0
7	36.325431422704185	37.0	37.0	37.0	35.0	37.0
8	36.322990596966534	37.0	37.0	37.0	35.0	37.0
9	38.071020373239186	39.0	39.0	39.0	37.0	39.0
10-11	38.06693018878121	39.0	39.0	39.0	37.0	39.0
12-13	38.03533680693158	39.0	39.0	39.0	36.0	39.0
14-15	39.54824233526678	41.0	40.0	41.0	37.0	41.0
16-17	39.50490416831791	41.0	40.0	41.0	37.0	41.0
18-19	39.48399165075476	41.0	39.5	41.0	37.0	41.0
20-21	39.435717791908345	41.0	39.0	41.0	37.0	41.0
22-23	39.35688632597183	41.0	39.0	41.0	36.0	41.0
24-25	39.28816829988831	41.0	39.0	41.0	36.0	41.0
26-27	39.20169349173182	41.0	39.0	41.0	36.0	41.0
28-29	39.102216332816944	40.0	39.0	41.0	36.0	41.0
30-31	38.98199778434269	40.0	39.0	41.0	35.5	41.0
32-33	38.85841184205786	40.0	38.0	41.0	35.0	41.0
34-35	38.72934530028461	40.0	38.0	41.0	35.0	41.0
36-37	38.58267959433657	40.0	38.0	41.0	34.5	41.0
38-39	38.665853433368156	40.0	38.0	41.0	35.0	41.0
40-41	38.65638847858198	40.0	38.0	41.0	35.0	41.0
42-43	38.52864705299564	40.0	38.0	41.0	34.0	41.0
44-45	38.42200953813453	40.0	38.0	41.0	34.0	41.0
46-47	38.25024993695284	40.0	38.0	41.0	33.0	41.0
48-49	38.051956488453364	40.0	38.0	41.0	33.0	41.0
50-51	37.41025349461397	39.0	37.0	40.5	32.5	40.5
52-53	37.71119334762402	39.5	37.0	40.5	33.0	41.0
54-55	38.10139334221998	40.0	37.0	41.0	34.0	41.0
56-57	37.94704263789315	40.0	37.0	41.0	33.5	41.0
58-59	37.70178918831286	40.0	36.5	41.0	33.0	41.0
60-61	37.41189272075513	39.0	36.0	41.0	33.0	41.0
62-63	37.11337230248226	39.0	35.5	41.0	32.5	41.0
64-65	36.737088842454156	39.0	35.0	41.0	32.0	41.0
66-67	36.34923285117267	38.0	35.0	40.0	31.0	41.0
68-69	35.96644540116007	37.0	35.0	40.0	31.0	41.0
70-71	35.556480122131354	37.0	35.0	39.5	31.0	41.0
72-73	35.13245307490003	36.0	35.0	39.0	30.0	41.0
74-75	34.69017725258493	36.0	34.0	39.0	30.0	40.5
76-77	34.237637127571425	35.0	34.0	37.5	29.0	40.0
78-79	33.85066154483554	35.0	34.0	37.0	29.0	39.0
80-81	33.40844651799546	35.0	34.0	37.0	29.0	39.0
82-83	33.00689803472998	35.0	34.0	36.0	27.5	38.5
84-85	32.60645287675181	35.0	33.0	36.0	27.0	37.0
86-87	32.18631786576359	35.0	33.0	35.5	26.0	37.0
88-89	31.744930332889	35.0	33.0	35.0	25.0	36.5
90	31.4068973592247	35.0	33.0	35.0	25.0	36.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
0	1	15.747817880544886
0	2	15.544609802063427
0	3	15.51821438894828
0	4	12.284455271108854
0	5	12.295988742228701
0	6	12.289417034164096
0	7	12.28829101684606
0	8	12.289854435680894
0	9	10.587581284349262
0	10-11	10.592084104254617
0	12-13	10.61879781883745
0	14-15	9.152480771360509
0	16-17	9.186942002813687
0	18-19	9.209325605928647
0	20-21	9.23729937443985
0	22-23	9.318150802066498
0	24-25	9.39024230522638
0	26-27	9.47504081503282
0	28-29	9.565783279464554
0	30-31	9.68466072324621
0	32-33	9.818138939725642
0	34-35	9.94083177327689
0	36-37	10.091223480575998
0	38-39	10.00950805586524
0	40-41	9.994844889660591
0	42-43	10.099733657773676
0	44-45	10.217323763543362
0	46-47	10.393951174718708
0	48-49	10.577601283087155
0	50-51	11.195395967141842
0	52-53	10.884606171942416
0	54-55	10.498005299138086
0	56-57	10.644946493478493
0	58-59	10.897183344423496
0	60-61	11.178797733310311
0	62-63	11.468199934141381
0	64-65	11.816402351223651
0	66-67	12.17531631292212
0	68-69	12.566218721031404
0	70-71	12.960652736549683
0	72-73	13.391592870136975
0	74-75	13.80809911078083
0	76-77	14.24747580265533
0	78-79	14.624912063161077
0	80-81	15.052172712535317
0	82-83	15.458288371029234
0	84-85	15.834874757198342
0	86-87	16.25294224355629
0	88-89	16.670016528762105
0	90	17.006683642332323
1101	1	-0.22456307183606583
1101	2	-0.12967591222228947
1101	3	-0.22369037295648297
1101	4	-0.23649710984352623
1101	5	-0.17639221015225104
1101	6	-0.07058296583590362
1101	7	-0.16218517363012808
1101	8	-0.12443127860481695
1101	9	-0.03622823946026443
1101	10-11	0.01732219949271041
1101	12-13	-0.05167837163874367
1101	14-15	0.12152839040812324
1101	16-17	0.24122771709939883
1101	18-19	0.1255160821191268
1101	20-21	0.15729937443985165
1101	22-23	0.1262460401617318
1101	24-25	0.09357563855971307
1101	26-27	0.1059931959851994
1101	28-29	0.023402327083601904
1101	30-31	0.24418453277002072
1101	32-33	0.1809960825827801
1101	34-35	0.21606986851498533
1101	36-37	0.17931871867123306
1101	38-39	0.1990318653890455
1101	40-41	0.1757972706129749
1101	42-43	0.17735270539272818
1101	44-45	0.07160947782907812
1101	46-47	0.09823688900442562
1101	48-49	0.2099822354681109
1101	50-51	0.002062633808513681
1101	52-53	0.0622252195614621
1101	54-55	0.18086244199523094
1101	56-57	0.27780363633564065
1101	58-59	0.0895642968044541
1101	60-61	0.028797733310305773
1101	62-63	0.12391421985566353
1101	64-65	0.1944975893188925
1101	66-67	0.12007821768402493
1101	68-69	0.15479014960283166
1101	70-71	0.023033688930631513
1101	72-73	-0.06364522510111925
1101	74-75	-0.012853270171547138
1101	76-77	-0.03204800686847875
1101	78-79	0.08681682506583854
1101	80-81	0.07360128396388887
1101	82-83	0.10352646626733275
1101	84-85	0.18344618576977467
1101	86-87	0.2781803387943853
1101	88-89	0.14573081447639424
1101	90	-0.01331635766767647
1102	1	-0.36812414844062147
1102	2	-0.2298467196757059
1102	3	-0.3223653211966493
1102	4	-0.2635519752679585
1102	5	-0.25835908385825235
1102	6	-0.3419235455460523
1102	7	-0.301382896197417
1102	8	-0.31612382518866866
1102	9	-0.10444770115798718
1102	10-11	-0.14432893922364798
1102	12-13	-0.18147392029298715
1102	14-15	-0.13193951849456198
1102	16-17	-0.040413069650078626
1102	18-19	-0.02980482885396185
1102	20-21	0.0067740121210064785
1102	22-23	-0.10621513996248666
1102	24-25	-0.03638812955622939
1102	26-27	-0.09832875018457088
1102	28-29	-0.1384739669122581
